,age,ast,blk,drb,fg,fg_2,fg_2_a,fg_3,fg_3_a,fga,ft,fta,gp,gs,mp,orb,pf,player,pos,pts,stl,tov,trb
259,23,44,98,354,230,227,451,3,12,463,150,208,77,34,1560,156,242,Alex Len,C,613,37,102,510
260,25,260,55,350,636,489,925,147,386,1311,469,533,74,74,2474,80,122,Kawhi Leonard,SF,1888,132,154,430
261,24,71,28,209,146,72,165,74,213,378,35,40,74,12,1222,27,172,Meyers Leonard,PF,401,13,35,236
262,27,111,26,300,310,261,479,49,167,646,98,113,75,34,1944,102,145,Jon Leuer,PF,767,31,66,402
263,22,110,8,165,171,112,196,59,184,380,67,93,57,26,1237,23,91,Caris LeVert,SF,468,49,59,188
264,28,54,14,88,55,38,96,17,46,142,25,40,62,19,777,20,81,DeAndre Liggins,SG,152,47,42,108
265,26,439,20,322,661,447,910,214,578,1488,488,545,75,75,2694,46,152,Damian Lillard,PG,2024,68,197,368
266,28,184,14,124,175,117,244,58,156,400,115,141,36,33,883,11,79,Jeremy Lin,PG,523,41,86,135
267,31,139,20,123,173,172,313,1,3,316,42,60,76,3,1345,28,120,Shaun Livingston,PG,389,38,61,151
268,24,13,9,44,61,54,90,7,19,109,19,35,18,0,234,41,49,Shawn Long,C,148,9,13,85
269,20,29,17,80,56,54,98,2,9,107,21,34,53,4,447,44,64,Kevon Looney,C,135,14,17,124
270,28,176,124,282,555,421,785,134,387,1172,295,364,75,75,2222,121,192,Brook Lopez,C,1539,38,184,403
271,28,80,117,276,382,382,773,0,2,775,75,104,81,81,2271,243,151,Robin Lopez,C,839,18,90,519
272,28,116,22,518,370,225,478,145,389,867,257,295,60,60,1885,148,125,Kevin Love,PF,1142,53,122,666
273,30,417,19,240,426,233,450,193,468,918,299,365,60,60,2244,48,170,Kyle Lowry,PG,1344,88,173,288
274,34,1,0,0,1,1,3,0,1,4,0,0,5,0,11,0,0,John Lucas III,PG,2,2,0,0
275,21,75,10,124,145,95,200,50,161,361,105,123,69,19,1190,25,154,Timothe Luwawu-Cabarrot,SF,445,32,73,149
276,21,70,20,187,159,94,235,65,204,439,57,79,71,4,1158,48,97,Trey Lyles,PF,440,26,64,235
277,26,154,3,108,170,133,261,37,120,381,53,77,55,9,1205,20,100,Shelvin Mack,PG,430,42,90,128
278,30,19,24,103,65,65,111,0,0,111,43,75,31,0,555,47,90,Ian Mahinmi,C,173,33,34,150
279,19,23,26,74,83,55,107,28,74,181,32,49,57,34,562,40,84,Thon Maker,C,226,10,17,114
280,28,9,12,84,72,72,132,0,0,132,47,58,35,0,293,46,25,Boban Marjanovic,C,191,6,10,130
281,22,8,9,120,58,49,126,9,25,151,40,50,42,3,558,42,91,Jarell Martin,PF,165,17,28,162
282,30,210,16,241,333,159,368,174,479,847,146,179,73,73,2495,18,161,Wesley Matthews,SG,986,77,102,259
283,30,39,35,127,191,148,268,43,110,378,59,87,80,76,1787,47,122,Luc Mbah a Moute,SF,484,81,47,174
284,24,17,29,56,62,60,109,2,8,117,21,42,52,2,457,34,47,James Michael McAdoo,PF,147,18,19,90
285,21,77,15,79,106,65,122,41,123,245,29,37,71,20,1074,22,62,Patrick McCaw,SG,282,32,36,101
286,24,15,2,30,30,23,45,7,30,75,23,27,30,3,287,4,17,Sheldon McClellan,SG,90,8,5,34
287,25,285,42,231,692,507,1001,185,440,1441,268,294,80,80,2796,60,202,C.J. McCollum,SG,1837,72,172,291
288,24,534,10,212,236,225,457,11,55,512,73,90,81,51,2133,39,139,T.J. McConnell,PG,556,134,159,251
289,21,2,2,10,16,15,25,1,7,32,3,5,16,0,80,9,7,Chris McCullough,PF,36,2,3,19
290,23,13,18,67,77,57,103,20,66,169,32,38,49,0,505,15,49,K.J. McDaniels,SF,206,19,29,82
291,25,58,5,159,222,145,290,77,207,497,71,84,66,5,1508,20,79,Doug McDermott,SF,592,13,38,179
292,29,17,67,144,208,208,315,0,4,319,56,111,77,10,739,100,109,JaVale McGee,C,472,19,40,244
293,25,124,18,162,190,117,240,73,220,460,44,71,78,65,1966,95,140,Rodney McGruder,SG,497,45,56,257
294,23,51,6,111,180,115,249,65,170,419,70,93,61,26,1176,19,108,Ben McLemore,SG,495,29,62,130
295,25,19,6,34,58,40,99,18,51,150,27,34,37,4,384,6,31,Jordan McRae,SG,161,8,14,40
296,29,50,4,51,44,31,87,13,31,118,6,9,22,14,381,23,31,Josh McRoberts,PF,107,10,23,74
297,29,45,4,72,103,47,119,56,137,256,65,74,36,10,738,5,41,Jodie Meeks,SG,327,34,36,77
298,30,14,61,211,88,87,134,1,3,137,36,61,73,11,905,97,152,Salah Mejri,C,213,32,40,308
299,22,7,6,21,15,15,33,0,1,34,8,14,25,1,141,13,12,Jordan Mickey,PF,38,3,9,34
300,25,99,7,112,150,105,229,45,104,333,81,92,29,23,889,11,79,Khris Middleton,SF,426,41,65,123
301,29,48,25,199,281,112,238,169,409,647,84,93,76,29,1776,30,151,C.J. Miles,SF,815,46,40,229
302,36,22,0,36,9,1,3,8,20,23,2,2,20,0,151,3,9,Mike Miller,SF,28,2,13,39
303,28,280,3,118,273,126,266,147,356,622,66,80,80,8,1754,24,109,Patty Mills,PG,759,65,101,142
304,29,1,0,3,1,1,5,0,2,7,1,2,2,0,23,3,2,Elijah Millsap,SG,3,0,2,6
305,31,252,62,422,430,355,731,75,241,972,311,405,69,67,2343,111,186,Paul Millsap,PF,1246,90,158,533
306,25,75,56,323,258,129,248,129,377,625,99,128,70,15,1679,61,128,Nikola Mirotic,PF,744,53,79,384
307,26,187,38,365,387,387,722,0,4,726,177,239,81,0,1823,167,168,Greg Monroe,C,951,92,140,532
308,27,164,32,119,283,206,411,77,208,619,57,74,73,22,1820,33,131,E'Twaun Moore,SG,700,50,62,152
309,27,160,25,289,421,303,650,118,357,1007,145,185,79,79,2565,77,168,Marcus Morris,SF,1105,52,87,366
310,27,126,42,385,406,335,693,71,196,889,180,215,76,76,2374,107,254,Markieff Morris,PF,1063,82,129,492
311,31,25,2,19,98,57,119,41,133,252,34,37,49,7,714,12,44,Anthony Morrow,SG,271,24,6,31
312,26,34,11,75,57,46,91,11,47,138,25,49,34,0,479,26,55,Donatas Motiejunas,PF,150,18,31,101
313,30,43,31,160,169,169,327,0,1,328,63,78,54,52,1104,104,133,Timofey Mozgov,C,401,16,72,264
314,20,217,13,149,208,152,373,56,178,551,131,167,55,41,1406,29,95,Emmanuel Mudiay,PG,603,41,123,178
315,24,35,6,136,288,239,452,49,146,598,147,190,78,1,1516,84,86,Shabazz Muhammad,SF,772,22,56,220
316,20,48,6,36,50,41,93,9,23,116,21,30,38,8,322,6,29,Dejounte Murray,PG,130,8,38,42
317,19,170,24,173,295,180,386,115,344,730,106,120,82,10,1764,41,124,Jamal Murray,SG,811,52,113,214
318,25,95,41,164,170,124,227,46,110,337,49,64,70,3,1237,76,97,Mike Muscala,C,435,30,55,240
319,24,96,40,249,190,180,325,10,36,361,59,80,63,7,1442,120,149,Larry Nance Jr.,PF,449,82,56,369
320,25,67,2,53,73,39,91,34,92,183,38,49,53,2,512,8,38,Shabazz Napier,PG,218,32,41,61
321,24,8,8,42,39,38,79,1,7,86,19,26,32,4,331,22,30,Maurice Ndour,PF,98,15,12,64
322,32,1,0,1,0,0,5,0,2,7,4,4,2,0,18,0,1,Gary Neal,SG,4,0,0,1
323,34,385,8,164,268,162,331,106,273,604,45,63,75,39,2045,28,197,Jameer Nelson,PG,687,53,129,192
324,24,34,5,26,41,31,60,10,31,91,8,9,40,0,346,4,48,Raul Neto,PG,100,21,15,30
325,23,5,0,15,9,8,24,1,12,36,2,2,23,0,93,2,6,Georges Niang,PF,21,3,5,17
326,27,10,6,46,43,38,84,5,27,111,9,14,38,0,342,15,55,Andrew Nicholson,PF,100,16,17,61
327,31,103,37,241,99,99,200,0,1,201,34,78,46,46,1015,161,127,Joakim Noah,C,232,30,58,402
328,22,50,51,201,184,184,308,0,1,309,77,111,51,19,1047,93,126,Nerlens Noel,C,445,65,51,294
329,24,42,90,161,103,100,144,3,12,156,44,67,57,6,1088,82,137,Lucas Nogueira,C,253,52,46,243
330,33,0,0,3,2,1,1,1,6,7,0,0,8,0,22,0,1,Steve Novak,PF,5,0,0,3
331,38,82,38,330,296,217,469,79,209,678,98,112,54,54,1424,23,113,Dirk Nowitzki,PF,769,30,51,353
332,22,123,74,313,271,271,533,0,1,534,120,210,65,48,1391,154,161,Jusuf Nurkic,C,662,50,143,467
333,24,14,7,46,47,46,76,1,5,81,25,39,20,2,397,16,36,David Nwaba,SG,120,13,11,62
334,23,6,1,10,15,12,24,3,6,30,5,6,11,0,80,9,10,Johnny O'Bryant,PF,38,0,6,19
335,26,117,104,282,215,213,396,2,17,413,64,83,79,8,1229,157,174,Kyle O'Quinn,C,496,36,76,439
336,23,3,0,17,12,12,27,0,0,27,0,2,19,0,75,5,17,Daniel Ochefu,C,24,2,3,22
337,21,58,49,159,242,242,471,0,0,471,106,158,50,33,1134,81,122,Jahlil Okafor,C,590,20,91,240
338,24,176,21,252,412,285,580,127,352,932,116,154,67,67,2222,39,155,Victor Oladipo,SG,1067,78,119,291
339,25,148,29,288,260,192,316,68,192,508,90,123,75,6,1538,72,207,Kelly Olynyk,C,678,43,96,360
340,29,2,1,4,2,2,4,0,0,4,0,0,8,0,28,2,3,Arinze Onuaku,C,4,0,2,6
341,20,3,1,8,5,5,7,0,0,7,4,4,5,1,52,2,6,Chinanu Onuaku,C,14,3,4,10
342,21,47,17,199,186,132,254,54,188,442,75,99,79,5,1605,61,195,Kelly Oubre,SF,501,58,49,260
343,32,132,33,270,164,164,305,0,2,307,98,126,70,70,1268,140,166,Zaza Pachulia,C,426,59,88,410
344,19,20,17,62,56,56,100,0,2,102,12,14,22,0,355,24,44,Georgios Papagiannis,C,124,3,24,86
345,21,142,22,235,399,334,636,65,178,814,162,218,51,50,1728,79,111,Jabari Parker,PF,1025,51,92,314
346,34,285,2,104,265,242,500,23,69,569,85,117,63,63,1587,9,92,Tony Parker,PG,638,33,89,113
347,28,55,5,78,75,50,129,25,93,222,35,43,34,34,675,6,52,Chandler Parsons,SF,210,20,24,84
348,25,6,0,6,3,2,9,1,6,15,2,3,5,0,40,1,6,Lamar Patterson,SG,9,1,4,7
349,27,76,23,229,154,60,131,94,253,384,43,60,65,8,1599,62,120,Patrick Patterson,PF,445,40,38,291
350,31,563,8,263,374,250,483,124,302,785,232,260,61,61,1921,41,146,Chris Paul,PG,1104,118,147,304
351,25,7,7,24,23,20,39,3,15,54,14,19,18,0,135,9,32,Adreian Payne,PF,63,8,8,33
352,22,55,5,45,64,37,107,27,86,193,5,8,31,0,462,3,52,Cameron Payne,PG,160,14,29,48
353,22,529,40,298,430,390,766,40,146,912,146,211,82,58,2412,89,177,Elfrid Payton,PG,1046,88,178,387
354,24,13,4,12,8,7,13,1,9,22,3,5,6,0,99,0,9,Gary Payton,PG,20,3,10,12
355,39,10,5,47,28,13,27,15,43,70,10,13,25,7,277,1,40,Paul Pierce,SF,81,4,16,48
356,24,10,4,28,16,16,30,0,0,30,8,19,21,1,170,23,23,Marshall Plumlee,C,40,4,12,51
357,26,284,92,436,334,334,617,0,6,623,174,300,81,64,2148,170,226,Mason Plumlee,C,842,69,135,606
358,28,21,13,57,44,44,92,0,0,92,25,39,45,12,484,38,73,Miles Plumlee,C,113,18,30,95
359,21,12,20,87,67,67,115,0,0,115,31,57,54,4,626,78,113,Jakob Poeltl,C,165,17,29,165
360,23,121,41,397,414,266,462,148,341,803,99,119,80,80,2605,118,193,Otto Porter,SF,1075,116,43,515
361,21,35,11,221,183,151,279,32,96,375,39,59,64,13,1000,75,94,Bobby Portis,PF,437,16,37,296
362,21,97,130,364,443,331,671,112,314,985,198,252,66,65,2164,111,244,Kristaps Porzingis,PF,1196,47,118,475
363,25,49,39,213,194,173,303,21,74,377,107,141,77,3,1333,93,135,Dwight Powell,C,516,61,34,306
364,23,82,14,142,227,171,333,56,173,506,126,159,76,18,1368,26,127,Norman Powell,SG,636,51,70,168
365,23,5,2,18,25,19,35,6,19,54,8,10,6,1,157,11,14,Alex Poythress,PF,64,3,3,29
366,33,18,1,8,4,1,7,3,17,24,3,4,14,0,134,3,14,Ronnie Price,PG,14,11,3,11
367,22,11,3,10,13,8,16,5,13,29,0,3,16,0,80,4,6,Tim Quarterman,SG,31,2,11,14
368,23,34,2,26,40,24,51,16,47,98,41,43,26,0,299,6,39,Chasson Randle,PG,137,9,19,32
369,22,264,37,485,377,360,710,17,63,773,204,282,74,73,2132,151,248,Julius Randle,PF,975,49,173,636
370,35,122,10,416,433,412,870,21,94,964,141,193,73,5,1786,182,136,Zach Randolph,PF,1028,38,99,598
371,32,110,13,160,396,195,422,201,468,890,180,202,78,78,2198,11,125,J.J. Redick,SG,1173,55,98,171
372,26,26,47,203,162,161,281,1,4,285,49,88,71,5,1031,129,137,Willie Reed,C,374,18,31,332
373,23,140,39,133,202,127,286,75,227,513,60,77,53,34,1614,35,132,Josh Richardson,SG,539,60,65,168
374,21,11,1,20,28,20,40,8,28,68,15,19,22,0,198,3,23,Malachi Richardson,SG,79,5,8,23
375,24,204,10,141,323,212,432,111,299,731,132,191,74,29,2054,20,187,Austin Rivers,SG,889,48,115,161
376,25,79,79,304,215,170,279,45,184,463,47,111,79,79,2376,98,204,Andre Roberson,SF,522,94,51,402
377,31,52,1,34,46,29,78,17,44,122,33,39,41,2,416,5,18,Brian Roberts,PG,142,9,26,39
378,23,47,20,188,158,109,213,49,125,338,54,76,69,27,1426,57,63,Glenn Robinson,SF,419,41,37,245
379,25,31,9,139,105,105,195,0,1,196,31,66,48,1,560,84,76,Thomas Robinson,PF,241,26,46,223
380,30,344,4,136,210,118,284,92,252,536,18,27,68,30,1518,21,95,Sergio Rodriguez,PG,530,48,128,157
381,30,461,11,282,229,179,428,50,133,561,30,50,69,42,1843,73,144,Rajon Rondo,PG,538,99,168,355
382,28,283,17,180,460,447,917,13,60,977,221,253,64,64,2082,66,84,Derrick Rose,PG,1154,44,147,246
383,25,88,33,189,326,184,355,142,391,746,64,77,78,24,1955,18,143,Terrence Ross,SF,858,88,68,207
384,22,131,11,187,151,94,232,57,179,411,51,66,74,0,1263,40,69,Terry Rozier,PG,410,45,47,227
385,26,682,10,237,261,201,454,60,196,650,254,285,75,75,2469,68,202,Ricky Rubio,PG,836,128,195,305
386,30,20,1,20,31,11,24,20,64,88,0,0,45,0,314,5,31,Damjan Rudez,SF,82,12,9,25
387,31,45,23,83,70,26,73,44,114,187,13,18,47,33,1030,16,42,Brandon Rush,SG,197,22,28,99
388,20,303,16,191,351,216,483,135,384,867,147,188,63,60,1811,31,130,D'Angelo Russell,PG,984,87,176,222
389,20,82,32,242,192,141,322,51,159,481,44,67,81,66,1632,45,200,Domantas Sabonis,PF,479,39,83,287
390,28,0,1,1,1,1,4,0,0,4,2,2,5,0,13,3,5,Larry Sanders,C,4,1,2,4
391,22,182,30,401,381,275,586,106,341,927,172,220,81,36,2129,112,162,Dario Saric,PF,1040,57,183,513
392,25,92,6,58,61,52,109,9,37,146,23,33,57,3,719,25,60,Tomas Satoransky,SG,154,26,38,83
393,23,499,16,206,548,448,921,100,294,1215,218,255,79,78,2485,42,149,Dennis Schroder,PG,1414,74,258,248
394,36,37,4,88,71,54,101,17,50,151,25,37,36,1,461,51,63,Luis Scola,PF,184,14,34,139
395,28,17,3,27,17,13,32,4,27,59,7,8,18,0,195,10,12,Mike Scott,PF,45,4,8,37
